id,pond_id,species_id,total_seed,started_at,finished_at,remark,created_at,updated_at,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,extracted_at,subscription_type,ordered_at,hatchery_id,total_seed_type,hatchery_name,pond_name,pond_length,pond_width,pond_depth
23341,30343,1.0,4500,2023-06-17 00:00:00.000,2023-09-16 00:00:00.000,,2023-06-17 13:52:22.000,2023-09-23 00:13:14.000,7.07,,2.5,120.0,45.0,2024-04-12 17:02:22.000,Free,,,net,,KOLAM 2,3.0,3.0,1.0
21662,30343,1.0,2800,2023-04-07 00:00:00.000,2023-05-30 00:00:00.000,,2023-04-07 00:46:15.000,2023-06-06 00:09:08.000,7.07,,2.5,90.0,55.0,2024-04-12 17:02:22.000,Free,,66.0,net,UD. Benur Ndaru Laut,KOLAM 2,3.0,3.0,1.0
11854,21217,1.0,85000,2021-09-08 00:00:00.000,2021-11-05 00:00:00.000,,2021-09-09 00:07:53.000,2021-11-11 07:53:25.000,1323.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,,,actual,,A,42.0,31.5,
26165,37102,1.0,58000,2023-10-04 00:00:00.000,2023-11-24 00:00:00.000,#TBR01,2023-10-05 12:08:08.000,2023-11-27 06:51:25.000,399.0,0.0,1.25,120.0,90.0,2024-04-12 17:02:22.000,Free,,83.0,gross,CV Raja Benur,A1,30.0,20.0,1.0
28280,41859,,237300,2023-12-05 00:00:00.000,2024-02-24 00:00:00.000,,2023-12-18 08:33:32.000,2024-03-05 00:11:48.000,1957.95,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Paid,2023-12-18 08:33:32.000,,actual,,P10,45.0,43.51,1.2
20892,37102,1.0,50000,2023-02-14 00:00:00.000,2023-04-07 00:00:00.000,#TBR01,2023-02-15 08:23:47.000,2023-04-11 07:36:49.000,399.0,0.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,,83.0,net,CV Raja Benur,A1,30.0,20.0,1.0
9987,23711,,170000,2021-04-10 00:00:00.000,2021-06-08 00:00:00.000,,2021-05-27 10:56:10.000,2021-07-22 23:28:32.000,2000.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,,,,,Jumakir Program JALA Impact,51.64,38.73,1.0
11044,23711,,110000,2021-07-22 00:00:00.000,2021-09-28 00:00:00.000,,2021-07-22 23:28:52.000,2021-11-06 15:04:33.000,2000.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2021-08-07 04:36:08.000,,,,Jumakir Program JALA Impact,51.64,38.73,1.0
16486,27610,1.0,240000,2022-05-22 00:00:00.000,2022-08-15 00:00:00.000,,2022-06-08 00:57:51.000,2022-08-22 00:22:45.000,1600.0,1.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,,net,,B-10. sendi,46.19,34.64,1.1
10200,24019,,90000,2021-06-16 00:00:00.000,2021-09-04 00:00:00.000,,2021-06-09 03:45:06.000,2021-09-28 00:05:11.000,1000.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2021-08-07 13:07:18.000,,,,A,36.51,27.39,1.2
10896,21217,1.0,50000,2021-07-11 00:00:00.000,2021-08-25 00:00:00.000,,2021-07-11 23:06:18.000,2021-08-27 06:11:04.000,1323.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2021-08-02 06:33:41.000,,,,A,42.0,31.5,
16799,32233,1.0,100000,2022-06-24 00:00:00.000,2022-09-15 00:00:00.000,#SiklusTebar,2022-06-24 09:20:38.000,2022-10-06 13:47:56.000,900.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,2022-06-24 09:20:38.000,4.0,net,PT. Summa Benur,1 selatan,30.0,30.0,1.6
19044,34720,2.0,300000,2022-10-21 00:00:00.000,2023-02-09 00:00:00.000,,2022-10-22 09:10:47.000,2023-02-12 19:32:07.000,4999.9,0.0,1.25,111.0,55.0,2024-04-12 17:02:22.000,Free,,1020.0,actual,MATERNIDADE NACALA,F04,70.71,70.71,1.5
27016,45165,1.0,400000,2023-09-21 00:00:00.000,2024-01-19 00:00:00.000,,2023-10-30 04:28:43.000,2024-01-26 00:08:20.000,2025.0,,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,,26.0,net,PT. Suri Tani Pemuka Unit Hatchery Indramayu,3,45.0,45.0,1.5
5442,16055,1.0,392000,2020-08-11 00:00:00.000,2020-10-06 00:00:00.000,,2020-08-12 02:38:04.000,2020-11-18 00:05:44.000,1960.0,1.0,2.5,120.0,120.0,2024-04-12 17:02:22.000,Free,2020-08-12 02:38:04.000,,,,D4,51.12,38.34,
7897,19381,1.0,100000,2021-01-27 00:00:00.000,2021-03-22 00:00:00.000,,2021-01-27 11:55:16.000,2021-03-28 07:25:12.000,725.0,0.0,1.2,120.0,45.0,2024-04-12 17:02:22.000,Free,2021-02-14 02:04:02.000,,,,Petak 1,31.09,23.32,1.0
29263,37102,1.0,60000,2024-01-22 00:00:00.000,2024-03-20 00:00:00.000,#TBRJember2024,2024-01-31 22:33:29.000,2024-03-21 00:42:59.000,600.0,0.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,,83.0,net,CV Raja Benur,A1,30.0,20.0,1.0
15402,31651,,194000,2021-12-20 00:00:00.000,2022-03-29 00:00:00.000,,2022-04-10 11:53:52.000,2022-04-10 13:06:56.000,1200.0,0.0,1.25,150.0,55.0,2024-04-12 17:02:22.000,Free,,79.0,actual,PT Hisenor Technology Indonesia,B4,40.0,30.0,1.5
21461,36615,1.0,100000,2022-10-21 00:00:00.000,2023-02-17 00:00:00.000,#JT03,2023-03-29 23:13:07.000,2023-03-30 01:47:37.000,945.0,0.0,1.25,119.0,55.0,2024-04-12 17:02:22.000,Free,,26.0,net,PT. Suri Tani Pemuka Unit Hatchery Indramayu,A1,40.0,30.0,1.0
27906,37102,1.0,30000,2023-12-04 00:00:00.000,2024-01-06 00:00:00.000,#TBR01,2023-12-04 23:26:41.000,2024-01-12 05:54:25.000,399.0,0.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,,83.0,net,CV Raja Benur,A1,30.0,20.0,1.0
18518,33356,1.0,411984,2022-09-26 00:00:00.000,2022-12-20 00:00:00.000,#SiklusBDRijal,2022-09-27 02:24:51.000,2022-12-20 06:44:41.000,1600.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,4.0,net,PT. Summa Benur,B-14. KARIYO,40.0,40.0,1.1
23702,41760,,192500,2023-07-08 00:00:00.000,2023-11-19 00:00:00.000,#SiklusFarm,2023-06-30 03:34:23.000,2023-11-24 08:41:13.000,1692.0,0.0,1.25,140.0,40.0,2024-04-12 17:02:22.000,Free,2023-11-10 04:23:00.000,42.0,net,CV Krakatau Haura Baraka,A3,36.0,47.0,1.3
24693,42842,1.0,238590,2023-08-05 00:00:00.000,2023-11-27 00:00:00.000,#SiklusFarm,2023-08-08 08:18:59.000,2023-12-01 21:26:33.000,1419.0,0.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,2023-08-08 08:18:59.000,20.0,actual,PT. Maju Tambak Sumur,B8,43.0,33.0,1.1
25131,43236,,449540,2023-08-18 00:00:00.000,2023-11-14 00:00:00.000,#BD-Katalis05,2023-08-29 05:45:15.000,2023-11-21 00:13:41.000,1962.5,0.0,1.25,120.0,50.0,2024-04-12 17:02:22.000,Free,2023-08-29 05:45:15.000,49.0,actual,Hatchery PT. Centralpertiwi Bahari - Hatchery Makassar,A2,50.0,50.0,1.2
21931,39865,1.0,600000,2023-04-19 00:00:00.000,2023-07-25 00:00:00.000,#VietProject23,2023-04-19 01:37:53.000,2023-08-31 08:13:51.000,1600.0,27.0,1.25,140.0,55.0,2024-04-12 17:02:22.000,Paid,,1057.0,gross,Đại Phát,A1,40.0,40.0,1.2
23708,41766,,174000,2023-07-08 00:00:00.000,2023-11-14 00:00:00.000,#SiklusFarm,2023-06-30 03:34:27.000,2023-11-24 00:07:18.000,1368.0,0.0,1.25,140.0,40.0,2024-04-12 17:02:22.000,Free,2023-11-10 04:26:11.000,1022.0,net,Windu Segara Anyar,C3,36.0,38.0,1.3
28844,30343,1.0,3500,2024-01-13 00:00:00.000,2024-03-05 00:00:00.000,,2024-01-14 01:02:03.000,2024-03-12 00:27:07.000,7.07,0.0,3.0,120.0,55.0,2024-04-12 17:02:22.000,Free,,66.0,net,UD. Benur Ndaru Laut,KOLAM 2,3.0,3.0,1.0
16347,12559,1.0,297000,2022-05-15 00:00:00.000,2022-08-03 00:00:00.000,#SiklusCustomerRizky,2022-05-31 04:12:40.000,2022-08-24 08:04:44.000,3200.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,51.0,gross,PT. Prima Larvae,C8,65.32,48.99,1.5
29100,44540,,333500,2022-10-01 00:00:00.000,2023-01-11 00:00:00.000,#Makloon2024,2024-01-21 17:36:15.000,2024-01-29 08:08:20.000,2002.5,0.0,1.25,102.0,55.0,2024-04-12 17:02:22.000,Free,,51.0,gross,PT. Prima Larvae,A3,50.0,40.05,1.3
18237,32248,1.0,80000,2022-09-10 00:00:00.000,2022-11-23 00:00:00.000,#SiklusTebar,2022-09-10 04:15:53.000,2022-11-27 14:08:16.000,900.0,1.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,2022-09-10 04:15:53.000,1002.0,net,PT. Esaputlii Prakarsa Utama,Kolam 1,30.0,30.0,1.0
21089,36656,1.0,70000,2023-03-04 00:00:00.000,2023-05-09 00:00:00.000,sanitas air 10 ppm,2023-03-04 15:49:50.000,2023-05-12 02:58:16.000,1800.0,0.0,1.25,100.0,60.0,2024-04-12 17:02:22.000,Free,,1001.0,actual,PT. Sinar Barru Prima,A1,48.5,37.3,1.1
27764,45887,,299108,2023-11-16 00:00:00.000,2024-02-13 00:00:00.000,,2023-11-27 10:09:00.000,2024-02-15 22:52:53.000,1908.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,24.0,actual,PT. Prima Larvae,7A,47.7,40.0,1.0
16910,33912,1.0,11000,2022-05-31 00:00:00.000,2022-08-22 00:00:00.000,,2022-06-29 05:44:07.000,2022-08-29 00:22:17.000,700.0,1.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,,net,,B-16. SUGI,35.0,20.0,1.0
27300,45473,,296000,2023-11-30 00:00:00.000,2024-03-22 00:00:00.000,,2023-11-07 06:30:52.000,2024-03-29 00:06:43.000,2025.0,0.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,2023-11-07 06:30:52.000,19.0,actual,PT. Central Proteinaprima Hatchery Kalianda,A7,45.0,45.0,1.5
20288,34735,2.0,274360,2023-01-05 00:00:00.000,2023-01-10 00:00:00.000,,2023-01-06 10:17:04.000,2023-01-12 05:55:02.000,35.0,0.0,1.25,6.0,55.0,2024-04-12 17:02:22.000,Free,,1020.0,actual,MATERNIDADE NACALA,N02,7.0,5.0,1.0
27325,45514,1.0,100000,2023-10-05 00:00:00.000,2023-12-09 00:00:00.000,#TBR05,2023-11-07 23:25:04.000,2023-12-11 02:51:24.000,750.0,0.0,1.25,100.0,40.0,2024-04-12 17:02:22.000,Free,2023-11-07 23:25:04.000,83.0,net,CV Raja Benur,A1,30.0,25.0,1.25
16488,30309,1.0,240000,2022-05-22 00:00:00.000,2022-08-16 00:00:00.000,#JT12,2022-06-08 01:05:09.000,2023-12-20 13:58:19.000,1000.0,1.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,1004.0,net,PT. Tri Karta Pratama - Total Kualitas Prima,B-1. BIRIN,36.51,27.39,1.1
17740,20911,1.0,348646,2022-07-19 00:00:00.000,2022-10-23 00:00:00.000,#SiklusCustomerPermadi,2022-08-14 04:28:18.000,2022-10-30 00:05:39.000,3192.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,3.0,actual,PT. Central Proteinaprima Tbk,B1,56.0,57.0,1.5
22273,38476,1.0,25000,2023-05-04 00:00:00.000,2023-07-09 00:00:00.000,#TBR01,2023-05-08 00:42:16.000,2023-07-10 15:16:25.000,266.0,0.0,1.25,120.0,100.0,2024-04-12 17:02:22.000,Free,,1030.0,net,Barokah Gelung Makmur,S2,19.0,14.0,1.0
18404,32505,1.0,135000,2022-09-19 00:00:00.000,2022-12-17 00:00:00.000,#SiklusTebar,2022-09-20 00:10:11.000,2022-12-20 15:14:28.000,750.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,2022-09-20 00:10:11.000,25.0,net,PT. Matahari Cipta Sentosa (Unit Hatchery Paiton),Kolam 1,25.0,30.0,1.5
10242,23713,,80000,2021-06-11 00:00:00.000,2021-09-25 00:00:00.000,,2021-06-11 11:26:17.000,2021-10-21 14:54:18.000,700.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2021-06-20 07:10:29.000,,,,A2,30.55,22.91,
25360,42209,,204000,2023-10-16 00:00:00.000,2024-01-31 00:00:00.000,,2023-09-07 03:39:31.000,2024-02-07 00:06:19.000,314.0,0.0,4.7,110.0,50.0,2024-04-12 17:02:22.000,Free,2023-09-07 04:52:05.000,,gross,,Kolbun 1,20.0,20.0,1.2
29099,44539,,333500,2022-10-01 00:00:00.000,2023-01-10 00:00:00.000,#Makloon2024,2024-01-21 17:36:10.000,2024-01-29 08:02:36.000,2002.5,0.0,1.25,101.0,55.0,2024-04-12 17:02:22.000,Free,,51.0,gross,PT. Prima Larvae,A2,50.0,40.05,1.3
10367,24266,1.0,120000,2021-06-15 00:00:00.000,2021-08-28 00:00:00.000,,2021-06-20 21:42:28.000,2022-04-19 13:03:24.000,1200.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2021-08-06 01:49:26.000,63.0,gross,PT. Suri Tani Pemuka UnIt Hatchery Banyuwangi,Tirta B,40.0,30.0,1.0
27707,38265,,325000,2023-11-30 00:00:00.000,2024-02-07 00:00:00.000,,2023-11-24 06:09:03.000,2024-02-08 01:44:02.000,2500.0,0.0,1.25,100.0,60.0,2024-04-12 17:02:22.000,Free,,66.0,net,UD. Benur Ndaru Laut,C2,50.0,50.0,1.2
27707,38265,,325000,2023-11-30 00:00:00.000,2024-02-07 00:00:00.000,,2023-11-24 06:09:03.000,2024-02-08 01:44:02.000,2500.0,0.0,1.25,100.0,60.0,2024-04-12 17:02:22.000,Free,,66.0,net,UD. Benur Ndaru Laut,C2,50.0,50.0,1.2
19692,7385,1.0,475000,2022-09-28 00:00:00.000,2023-01-24 00:00:00.000,#SiklusBDNisa,2022-11-27 13:43:44.000,2023-02-02 03:24:25.000,3080.0,0.0,1.25,160.0,55.0,2024-04-12 17:02:22.000,Free,,1000.0,actual,AGAPE Hatchery,G6,64.59,47.59,1.25
24223,39071,1.0,120000,2023-07-16 00:00:00.000,2023-09-07 00:00:00.000,#TBR01,2023-07-17 06:28:00.000,2023-09-11 22:11:49.000,575.0,0.0,1.25,120.0,80.0,2024-04-12 17:02:22.000,Free,,83.0,gross,CV Raja Benur,R2,25.0,23.0,0.9
21966,36377,1.0,290000,2023-04-21 00:00:00.000,2023-07-22 00:00:00.000,#VietProject23,2023-04-21 09:45:40.000,2023-08-29 03:15:23.000,1404.0,19.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,,1049.0,gross,Việt Úc,A2,39.0,36.0,1.8
20192,37769,1.0,29000,2022-12-28 00:00:00.000,,,2022-12-28 14:07:10.000,2023-01-02 06:11:25.000,28.27,0.0,1.25,100.0,55.0,2023-03-17 17:02:11.000,Free,,66.0,net,UD. Benur Ndaru Laut,A1,6.0,6.0,1.0
12361,19201,,66000,2021-09-12 00:00:00.000,2021-12-20 00:00:00.000,,2021-10-04 05:07:24.000,2022-03-13 16:08:26.000,300.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2021-10-04 05:07:24.000,35.0,net,PT Windu Alam Sentosa,15,20.0,15.0,1.3
16042,12090,1.0,240000,2022-05-14 00:00:00.000,2022-08-16 00:00:00.000,#JT12,2022-05-17 04:59:06.000,2023-12-20 10:28:55.000,1600.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,4.0,net,PT. Summa Benur,A11_PANGGEH,46.19,34.64,1.6
14328,23932,1.0,130000,2022-02-21 00:00:00.000,2022-06-21 00:00:00.000,,2022-02-14 15:01:24.000,2022-06-21 14:04:28.000,1600.0,0.0,1.25,120.0,30.0,2024-04-12 17:02:22.000,Free,,23.0,actual,PT. Suryawindu Pertiwi - Shrimp Hatchery,A05,40.0,40.0,150.0
10028,23701,,55000,2021-04-09 00:00:00.000,2021-07-26 00:00:00.000,,2021-05-29 00:19:27.000,2021-12-02 02:09:17.000,606.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,,3.0,net,PT. Central Proteinaprima Tbk,WY1,32.46,24.34,1.5
20949,38700,1.0,60000,2023-02-17 00:00:00.000,2023-04-25 00:00:00.000,#TBR01,2023-02-20 09:01:32.000,2023-04-26 13:52:26.000,60.0,0.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,,68.0,gross,PT. Delta Windu Purnama,A2,18.0,20.0,1.0
28408,34743,2.0,442350,2023-12-22 00:00:00.000,2024-01-13 00:00:00.000,,2023-12-23 06:46:09.000,2024-01-17 09:59:46.000,35.0,0.0,1.25,23.0,55.0,2024-04-12 17:02:22.000,Paid,,1020.0,actual,MATERNIDADE NACALA,N10,7.0,5.0,1.0
16155,31443,,161356,2022-05-15 00:00:00.000,2022-07-22 00:00:00.000,#SiklusFarm,2022-05-22 12:00:45.000,2023-05-17 08:57:47.000,1000.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,2022-05-22 12:00:45.000,1004.0,actual,PT. Tri Karta Pratama - Total Kualitas Prima,A2,51.85,38.88,1.2
23068,41172,1.0,280000,2023-06-10 00:00:00.000,2023-06-20 00:00:00.000,#VietProject23,2023-06-10 01:58:53.000,2023-08-29 03:42:07.000,1200.0,40.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,,1055.0,gross,New Post.BL,A1,40.0,30.0,1.5
27755,45882,,332280,2023-11-08 00:00:00.000,2024-02-13 00:00:00.000,,2023-11-27 10:01:44.000,2024-02-20 00:10:52.000,2350.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,24.0,actual,PT. Prima Larvae,2A,50.0,47.0,1.0
28066,46257,,156086,2023-12-30 00:00:00.000,2024-03-27 00:00:00.000,,2023-12-12 04:54:17.000,2024-04-05 00:07:16.000,803.84,0.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,2023-12-12 04:54:17.000,,actual,,A4,32.0,32.0,1.5
17625,34310,1.0,81561,2022-08-19 00:00:00.000,2022-10-15 00:00:00.000,#SiklusFarm,2022-08-08 23:49:42.000,2023-06-05 00:03:12.000,1300.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,2022-08-08 23:49:42.000,26.0,actual,PT. Suri Tani Pemuka Unit Hatchery Indramayu,A2,40.0,40.0,1.0
23913,34743,2.0,678180,2023-07-05 00:00:00.000,2023-07-12 00:00:00.000,,2023-07-05 11:12:01.000,2023-07-24 07:26:41.000,35.0,0.0,1.25,7.0,55.0,2024-04-12 17:02:22.000,Free,,1020.0,actual,MATERNIDADE NACALA,N10,7.0,5.0,1.0
27187,42446,,200000,2023-10-21 00:00:00.000,2024-01-10 00:00:00.000,#BD-Katalis03,2023-11-01 08:22:13.000,2024-01-18 08:33:22.000,1350.0,1.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,2023-11-01 08:22:13.000,1004.0,gross,PT. Tri Karta Pratama - Total Kualitas Prima,5,45.0,30.0,1.0
20982,38739,1.0,208898,2022-12-13 00:00:00.000,2023-05-02 00:00:00.000,#SupplySurumana,2023-02-23 01:56:00.000,2023-05-09 00:09:30.000,2160.0,0.0,1.25,140.0,55.0,2024-04-12 17:02:22.000,Free,2023-02-23 01:56:00.000,3.0,net,PT. Central Proteinaprima Tbk,B3,60.0,36.0,2.0
24506,24266,1.0,250000,2023-07-29 00:00:00.000,2023-11-14 00:00:00.000,,2023-07-31 00:51:49.000,2023-11-19 01:02:39.000,1200.0,0.0,1.25,120.0,55.0,2024-04-12 17:02:22.000,Free,,83.0,gross,CV Raja Benur,Tirta B,40.0,30.0,1.0
25601,34743,2.0,341360,2023-08-11 00:00:00.000,2023-08-22 00:00:00.000,,2023-09-18 12:48:15.000,2023-09-21 10:55:10.000,35.0,0.0,1.25,11.0,55.0,2024-04-12 17:02:22.000,Free,,1020.0,actual,MATERNIDADE NACALA,N10,7.0,5.0,1.0
12482,24266,1.0,150000,2021-10-08 00:00:00.000,2021-12-11 00:00:00.000,,2021-10-08 21:14:46.000,2022-04-19 13:13:15.000,1200.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,2021-11-30 03:45:11.000,1000.0,net,AGAPE Hatchery,Tirta B,40.0,30.0,1.0
25901,31344,,199562,2021-02-16 00:00:00.000,2021-05-07 00:00:00.000,#CustomerBD,2023-09-29 03:03:16.000,2023-09-29 09:17:47.000,1116.0,0.0,1.25,100.0,55.0,2024-04-12 17:02:22.000,Free,,27.0,actual,PT. Citra Larva Cemerlang,R,62.0,18.0,1.0
8687,21242,,18000,2021-03-05 00:00:00.000,2021-04-18 00:00:00.000,,2021-03-09 08:23:31.000,2021-06-30 15:03:54.000,1728.0,0.0,1.25,80.0,80.0,2024-04-12 17:02:22.000,Free,2021-04-14 01:45:15.000,63.0,,PT. Suri Tani Pemuka UnIt Hatchery Banyuwangi,B,10.0,60.0,
12937,28053,1.0,50000,2021-10-03 00:00:00.000,2021-11-24 00:00:00.000,,2021-11-04 05:29:39.000,2021-11-26 03:31:23.000,900.0,0.0,1.25,120.0,45.0,2024-04-12 17:02:22.000,Free,,,gross,,Mutiara Timur,32.66,24.49,1.0
