id,province,regency,timezone
5978,JAWA TENGAH,PEMALANG,+07:00
5979,JAWA TENGAH,PURWOREJO,+07:00
5980,JAWA TENGAH,PEMALANG,+07:00
5981,JAWA TENGAH,PEMALANG,+07:00
5982,JAWA TENGAH,PURWOREJO,+07:00
5983,JAWA TENGAH,PURWOREJO,+07:00
5984,JAWA TENGAH,PURWOREJO,+07:00
5986,JAWA TENGAH,PURWOREJO,+07:00
5987,JAWA TENGAH,PURWOREJO,+07:00
5988,JAWA TENGAH,PEMALANG,+07:00
5989,JAWA TENGAH,PURWOREJO,+07:00
5990,JAWA TENGAH,PEMALANG,+07:00
5991,JAWA TENGAH,PURWOREJO,+07:00
5992,JAWA TENGAH,PEMALANG,+07:00
5993,JAWA TENGAH,PURWOREJO,+07:00
5996,JAWA TENGAH,PURWOREJO,+07:00
5997,JAWA TENGAH,PURWOREJO,+07:00
5998,JAWA TENGAH,PURWOREJO,+07:00
5999,JAWA TENGAH,PURWOREJO,+07:00
6000,JAWA TENGAH,PURWOREJO,+07:00
6002,JAWA TENGAH,PURWOREJO,+07:00
6003,JAWA TENGAH,PURWOREJO,+07:00
6022,JAWA TENGAH,PEMALANG,+07:00
6080,JAWA TENGAH,BREBES,+07:00
6081,JAWA TENGAH,CILACAP,+07:00
6084,JAWA TENGAH,PURWOREJO,+07:00
6085,JAWA TENGAH,PURWOREJO,+07:00
6086,JAWA TENGAH,PURWOREJO,+07:00
6088,JAWA TENGAH,PURWOREJO,+07:00
6089,JAWA TENGAH,PURWOREJO,+07:00
6090,JAWA TENGAH,PURWOREJO,+07:00
6091,JAWA TENGAH,PURWOREJO,+07:00
6092,JAWA TENGAH,PURWOREJO,+07:00
6142,ACEH,PIDIE JAYA,+07:00
6149,ACEH,PIDIE JAYA,+07:00
6175,JAWA TENGAH,PURWOREJO,+07:00
6182,JAWA TENGAH,PEMALANG,+07:00
6206,JAWA TIMUR,LAMONGAN,+07:00
6236,JAWA TENGAH,PEMALANG,+07:00
6237,JAWA TENGAH,PEMALANG,+07:00
6259,JAWA TIMUR,BANYUWANGI,+07:00
6265,JAWA TENGAH,PEMALANG,+07:00
6282,SULAWESI SELATAN,BARRU,+08:00
6287,JAWA TENGAH,PEMALANG,+07:00
6452,JAWA TENGAH,PURWOREJO,+07:00
6505,JAWA TIMUR,PROBOLINGGO,+07:00
6513,JAWA TIMUR,BANYUWANGI,+07:00
6514,JAWA TIMUR,BANYUWANGI,+07:00
6515,JAWA TIMUR,BANYUWANGI,+07:00
6517,JAWA TIMUR,BANYUWANGI,+07:00
6533,JAWA TENGAH,PEMALANG,+07:00
6538,JAWA TIMUR,BANYUWANGI,+07:00
6539,JAWA TIMUR,BANYUWANGI,+07:00
6561,BANTEN,PANDEGLANG,+07:00
6603,BANTEN,PANDEGLANG,+07:00
6620,JAWA TENGAH,PEMALANG,+07:00
6679,DI YOGYAKARTA,BANTUL,+07:00
6685,JAWA TENGAH,PEMALANG,+07:00
6868,LAMPUNG,PESISIR BARAT,+07:00
6974,JAWA TIMUR,BANYUWANGI,+07:00
6981,JAWA TIMUR,BANYUWANGI,+07:00
7001,JAWA TIMUR,BANYUWANGI,+07:00
7004,JAWA TIMUR,BANYUWANGI,+07:00
7174,JAWA TIMUR,BANYUWANGI,+07:00
7289,LAMPUNG,LAMPUNG SELATAN,+07:00
7415,JAWA TENGAH,PURWOREJO,+07:00
7448,LAMPUNG,PESISIR BARAT,+07:00
7499,RIAU,BENGKALIS,+07:00
7538,JAWA TIMUR,SUMENEP,+07:00
7543,JAWA TIMUR,BANYUWANGI,+08:00
7579,JAWA BARAT,TASIKMALAYA,+07:00
7721,SUMATERA BARAT,AGAM,+07:00
7766,OUTSIDE INDONESIA,,+07:00
7767,JAWA BARAT,PANGANDARAN,+07:00
7770,ACEH,ACEH TIMUR,+07:00
7835,JAWA TENGAH,CILACAP,+07:00
7869,SUMATERA SELATAN,OGAN KOMERING ILIR,+07:00
7926,JAWA TENGAH,KENDAL,+07:00
7939,LAMPUNG,LAMPUNG SELATAN,+07:00
7941,JAWA TIMUR,NGANJUK,+07:00
7996,SUMATERA BARAT,AGAM,+07:00
7997,SUMATERA BARAT,AGAM,+07:00
8051,JAWA BARAT,CIREBON,+07:00
8052,JAWA BARAT,CIREBON,+07:00
8053,JAWA BARAT,CIREBON,+07:00
8054,JAWA BARAT,CIREBON,+07:00
8106,JAWA TENGAH,KEBUMEN,+07:00
8283,JAWA BARAT,CIREBON,+07:00
8284,JAWA BARAT,CIREBON,+07:00
8285,JAWA BARAT,CIREBON,+07:00
8286,JAWA BARAT,CIREBON,+07:00
8287,JAWA BARAT,CIREBON,+07:00
8288,JAWA BARAT,CIREBON,+07:00
8289,JAWA BARAT,CIREBON,+07:00
8290,JAWA BARAT,CIREBON,+07:00
8291,JAWA BARAT,CIREBON,+07:00
8292,JAWA BARAT,CIREBON,+07:00
8293,JAWA BARAT,CIREBON,+07:00
8295,JAWA TENGAH,CILACAP,+07:00
8296,JAWA BARAT,CIREBON,+07:00
8297,JAWA BARAT,CIREBON,+07:00
8298,JAWA TENGAH,CILACAP,+07:00
8299,JAWA BARAT,CIREBON,+07:00
8301,JAWA BARAT,CIREBON,+07:00
8303,JAWA BARAT,CIREBON,+07:00
8304,JAWA TENGAH,CILACAP,+07:00
8306,JAWA BARAT,CIREBON,+07:00
8307,JAWA BARAT,CIREBON,+07:00
8308,JAWA BARAT,CIREBON,+07:00
8309,JAWA BARAT,CIREBON,+07:00
8310,JAWA TENGAH,CILACAP,+07:00
8311,JAWA TENGAH,CILACAP,+07:00
8312,JAWA TENGAH,CILACAP,+07:00
8314,JAWA TENGAH,CILACAP,+07:00
8315,JAWA TENGAH,CILACAP,+07:00
8316,JAWA TENGAH,CILACAP,+07:00
8317,JAWA TENGAH,CILACAP,+07:00
8318,JAWA TENGAH,CILACAP,+07:00
8319,JAWA TENGAH,CILACAP,+07:00
8320,JAWA TENGAH,CILACAP,+07:00
8321,JAWA TENGAH,CILACAP,+07:00
8322,JAWA TENGAH,CILACAP,+07:00
8323,JAWA TENGAH,CILACAP,+07:00
8324,JAWA TENGAH,CILACAP,+07:00
8325,JAWA TENGAH,CILACAP,+07:00
8326,JAWA TENGAH,CILACAP,+07:00
8327,JAWA TENGAH,CILACAP,+07:00
8328,JAWA TENGAH,CILACAP,+07:00
8330,JAWA BARAT,CIREBON,+07:00
8332,JAWA TENGAH,CILACAP,+07:00
8333,JAWA TENGAH,CILACAP,+07:00
8334,JAWA TENGAH,CILACAP,+07:00
8335,JAWA TENGAH,CILACAP,+07:00
8336,JAWA TENGAH,CILACAP,+07:00
8337,JAWA TENGAH,CILACAP,+07:00
8339,JAWA BARAT,CIREBON,+07:00
8341,BALI,JEMBRANA,+08:00
8342,BALI,JEMBRANA,+08:00
8344,BALI,JEMBRANA,+08:00
8345,BALI,JEMBRANA,+08:00
8347,BALI,JEMBRANA,+08:00
8350,,,+07:00
8354,BALI,JEMBRANA,+08:00
8364,BALI,JEMBRANA,+08:00
8365,BALI,JEMBRANA,+08:00
8367,BALI,JEMBRANA,+08:00
8368,BALI,JEMBRANA,+08:00
8369,BALI,JEMBRANA,+08:00
8371,JAWA TENGAH,CILACAP,+07:00
8373,JAWA TENGAH,CILACAP,+07:00
8375,,,+07:00
8383,,,+07:00
8385,,,+07:00
8391,JAWA BARAT,CIREBON,+07:00
8393,JAWA BARAT,CIREBON,+07:00
8394,BALI,JEMBRANA,+08:00
8395,BALI,JEMBRANA,+08:00
8396,BALI,JEMBRANA,+08:00
8398,BALI,JEMBRANA,+08:00
8402,,,+07:00
8404,,,+07:00
8405,,,+07:00
8408,,,+07:00
8409,,,+07:00
8410,BALI,JEMBRANA,+08:00
8413,,,+07:00
8414,BALI,JEMBRANA,+08:00
8417,,,+07:00
8426,JAWA TENGAH,CILACAP,+07:00
8427,BALI,JEMBRANA,+08:00
8429,,,+07:00
8442,BALI,JEMBRANA,+08:00
8452,,,+07:00
8470,JAWA TENGAH,CILACAP,+07:00
8473,BALI,JEMBRANA,+08:00
8492,JAWA BARAT,CIREBON,+07:00
8503,,,+07:00
8506,,,+07:00
8520,JAWA BARAT,CIREBON,+07:00
8529,JAWA BARAT,CIREBON,+07:00
8530,JAWA TENGAH,CILACAP,+07:00
8531,JAWA BARAT,CIREBON,+07:00
8532,JAWA TENGAH,CILACAP,+07:00
8537,BALI,JEMBRANA,+08:00
8538,BALI,JEMBRANA,+08:00
8540,BALI,JEMBRANA,+08:00
8541,BALI,JEMBRANA,+08:00
8542,BALI,JEMBRANA,+08:00
8544,BALI,JEMBRANA,+08:00
8559,BALI,JEMBRANA,+08:00
8563,BALI,JEMBRANA,+08:00
8573,JAWA TENGAH,KEBUMEN,+07:00
8607,,,+07:00
8608,,,+07:00
8609,,,+07:00
8616,BALI,JEMBRANA,+08:00
8686,,,+07:00
8699,,,+07:00
8700,,,+07:00
8730,BALI,JEMBRANA,+07:00
8734,BALI,JEMBRANA,+07:00
8739,BALI,JEMBRANA,+07:00
8753,BALI,JEMBRANA,+07:00
8755,,,+07:00
8761,,,+07:00
8763,,,+07:00
8779,,,+07:00
8786,,,+07:00
8790,JAWA TIMUR,SUMENEP,+07:00
8793,,,+07:00
8844,JAWA BARAT,CIREBON,+07:00
8870,OUTSIDE INDONESIA,,+05:30
8871,OUTSIDE INDONESIA,,+05:30
8898,BALI,JEMBRANA,+08:00
8903,JAWA TENGAH,CILACAP,+07:00
8921,JAWA TIMUR,JEMBER,+07:00
8931,JAWA TENGAH,CILACAP,+07:00
8933,BANTEN,,+07:00
8934,BANTEN,,+07:00
8967,JAWA TENGAH,PURWOREJO,+07:00
8997,JAWA BARAT,SUBANG,+07:00
9036,JAWA BARAT,KOTA CIREBON,+07:00
9044,JAWA TIMUR,SUMENEP,+07:00
9070,,,+07:00
9103,OUTSIDE INDONESIA,,+02:00
9104,OUTSIDE INDONESIA,,+02:00
9225,JAWA TENGAH,KENDAL,+07:00
9308,NUSA TENGGARA BARAT,SUMBAWA,+08:00
9320,ACEH,ACEH UTARA,+07:00
9331,KEPULAUAN BANGKA BELITUNG,BANGKA,+07:00
9368,JAWA TIMUR,BANYUWANGI,+07:00
9371,,,+07:00
9374,,,+07:00
9375,,,+07:00
9380,,,+07:00
9382,,,+07:00
9384,,,+07:00
9422,JAWA TIMUR,JEMBER,+07:00
9463,JAWA TENGAH,PEMALANG,+07:00
9467,JAWA TENGAH,PURWOREJO,+07:00
9468,JAWA TIMUR,LAMONGAN,+07:00
9501,JAWA TIMUR,PROBOLINGGO,+07:00
9502,JAWA TIMUR,JEMBER,+07:00
9516,JAWA TIMUR,JEMBER,+07:00
9517,BANTEN,PANDEGLANG,+07:00
9545,KEPULAUAN BANGKA BELITUNG,,+07:00
9585,,,+07:00
9586,,,+07:00
9644,JAWA TENGAH,PEMALANG,+07:00
9653,SULAWESI SELATAN,PINRANG,+08:00
9690,JAWA TENGAH,KEBUMEN,+07:00
9693,BALI,JEMBRANA,+08:00
9751,JAWA TIMUR,JEMBER,+07:00
9775,JAWA TIMUR,JEMBER,+07:00
9776,JAWA TIMUR,JEMBER,+07:00
9789,KEPULAUAN BANGKA BELITUNG,BANGKA,+07:00
9794,JAWA TIMUR,JEMBER,+07:00
9803,JAWA TIMUR,JEMBER,+07:00
9806,JAWA TIMUR,JEMBER,+07:00
9840,JAWA TIMUR,JEMBER,+07:00
9851,LAMPUNG,TULANGBAWANG,+07:00
9929,JAWA TIMUR,JEMBER,+07:00
10011,JAWA TIMUR,GRESIK,+07:00
10125,JAWA BARAT,PANGANDARAN,+07:00
10135,RIAU,BENGKALIS,+07:00
10136,JAWA TIMUR,JEMBER,+07:00
10158,JAWA TIMUR,SITUBONDO,+07:00
10199,JAWA TIMUR,BANGKALAN,+07:00
10202,KEPULAUAN BANGKA BELITUNG,BANGKA,+07:00
10229,JAWA TIMUR,JEMBER,+07:00
10232,JAWA TIMUR,JEMBER,+07:00
10235,JAWA TIMUR,JEMBER,+07:00
10237,JAWA TIMUR,JEMBER,+07:00
10239,JAWA TIMUR,JEMBER,+07:00
10247,JAWA TIMUR,JEMBER,+07:00
10248,JAWA TIMUR,JEMBER,+07:00
10250,JAWA TIMUR,JEMBER,+07:00
10254,JAWA TIMUR,JEMBER,+07:00
10255,JAWA TIMUR,JEMBER,+07:00
10256,JAWA TIMUR,JEMBER,+07:00
10257,JAWA TIMUR,JEMBER,+07:00
10258,JAWA TIMUR,JEMBER,+07:00
10259,JAWA TIMUR,JEMBER,+07:00
10263,JAWA TIMUR,JEMBER,+07:00
10288,JAWA TIMUR,JEMBER,+07:00
10293,BALI,JEMBRANA,+08:00
10324,SULAWESI TENGAH,DONGGALA,+08:00
10325,SULAWESI TENGAH,DONGGALA,+08:00
10326,SULAWESI TENGAH,DONGGALA,+08:00
10330,DI YOGYAKARTA,BANTUL,+07:00
10388,JAWA TENGAH,PURWOREJO,+07:00
10391,JAWA TENGAH,PURWOREJO,+07:00
10394,JAWA TENGAH,PURWOREJO,+07:00
10423,OUTSIDE INDONESIA,,+08:00
10429,ACEH,,+07:00
10438,JAWA TIMUR,JEMBER,+07:00
10465,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,+07:00
10480,JAWA BARAT,KOTA TASIKMALAYA,+07:00
10504,BALI,JEMBRANA,+08:00
10571,,,+07:00
10587,JAWA TIMUR,PACITAN,+07:00
10593,JAWA TIMUR,JEMBER,+07:00
10594,JAWA TIMUR,JEMBER,+07:00
10611,JAWA TIMUR,PACITAN,+07:00
10616,,,+07:00
10628,JAWA TIMUR,PACITAN,+07:00
10665,,,+07:00
10666,,,+07:00
10668,,,+07:00
10672,,,+07:00
10674,,,+07:00
10675,,,+07:00
10677,,,+07:00
10678,,,+07:00
10679,,,+07:00
10680,,,+07:00
10681,,,+07:00
10684,,,+07:00
10689,,,+07:00
10731,JAWA TIMUR,BANGKALAN,+07:00
10789,JAWA TIMUR,SUMENEP,+07:00
10805,,,+07:00
10806,,,+07:00
10808,,,+07:00
10809,,,+07:00
10811,,,+07:00
10813,,,+07:00
10830,,,+07:00
10841,,,+07:00
10842,,,+07:00
10845,,,+07:00
10849,,,+07:00
10855,,,+07:00
10857,,,+07:00
10859,JAWA TENGAH,PEMALANG,+07:00
10861,JAWA TENGAH,TEGAL,+07:00
10882,,,+07:00
10888,DI YOGYAKARTA,BANTUL,+07:00
10892,JAWA TIMUR,BANYUWANGI,+08:00
10897,JAWA TIMUR,PACITAN,+07:00
10899,JAWA TENGAH,KEBUMEN,+07:00
10905,JAWA TENGAH,PURWOREJO,+07:00
10931,SULAWESI SELATAN,BARRU,+08:00
10938,LAMPUNG,LAMPUNG TIMUR,+07:00
10967,JAWA TIMUR,BANYUWANGI,+07:00
10973,JAWA TIMUR,BANYUWANGI,+07:00
11034,JAWA TENGAH,PURWOREJO,+07:00
11069,,,+07:00
11070,,,+07:00
11084,RIAU,BENGKALIS,+07:00
11134,KEPULAUAN BANGKA BELITUNG,BANGKA,+07:00
11154,JAWA TIMUR,SITUBONDO,+07:00
11159,SUMATERA UTARA,SERDANG BEDAGAI,+07:00
11180,JAWA TENGAH,KEBUMEN,+07:00
11200,BALI,BADUNG,+07:00
11203,,,+07:00
11217,SUMATERA BARAT,PADANG PARIAMAN,+07:00
11239,JAWA BARAT,PANGANDARAN,+07:00
11258,,,+07:00
11327,JAWA TIMUR,PACITAN,+07:00
11334,JAWA TIMUR,BANGKALAN,+07:00
11350,JAWA TIMUR,SITUBONDO,+07:00
11381,,,+07:00
11391,BANTEN,SERANG,+07:00
11412,JAWA TENGAH,CILACAP,+07:00
11422,JAWA TENGAH,KEBUMEN,+07:00
11448,JAWA TENGAH,PURWOREJO,+07:00
11465,,,+07:00
11466,,,+07:00
11514,OUTSIDE INDONESIA,,+07:00
11515,OUTSIDE INDONESIA,,+07:00
11531,SUMATERA BARAT,AGAM,+07:00
11544,JAWA TENGAH,KEBUMEN,+07:00
11552,JAWA BARAT,TASIKMALAYA,+07:00
11568,OUTSIDE INDONESIA,,+07:00
11590,ACEH,PIDIE,+07:00
11591,JAWA BARAT,PANGANDARAN,+07:00
11620,JAWA TENGAH,KENDAL,+07:00
11621,LAMPUNG,LAMPUNG SELATAN,+07:00
11622,JAWA TIMUR,PAMEKASAN,+07:00
11623,JAWA TIMUR,PASURUAN,+07:00
11659,JAWA BARAT,PANGANDARAN,+07:00
11663,SULAWESI UTARA,MINAHASA SELATAN,+08:00
11666,JAWA TENGAH,CILACAP,+07:00
11679,OUTSIDE INDONESIA,,+07:00
11682,DI YOGYAKARTA,BANTUL,+07:00
11686,LAMPUNG,TULANGBAWANG,+07:00
11699,JAWA TIMUR,SUMENEP,+07:00
11705,JAWA TIMUR,JEMBER,+07:00
11729,JAWA TIMUR,JEMBER,+07:00
11777,JAWA TIMUR,PACITAN,+07:00
11781,JAWA TENGAH,PURWOREJO,+07:00
11801,JAWA TENGAH,PURWOREJO,+07:00
11877,SUMATERA BARAT,PADANG,+07:00
11882,NUSA TENGGARA BARAT,LOMBOK TIMUR,+06:00
11886,JAWA TIMUR,LAMONGAN,+07:00
11931,JAWA TIMUR,PACITAN,+07:00
11934,JAWA TENGAH,PURWOREJO,+07:00
12227,KEPULAUAN BANGKA BELITUNG,BANGKA SELATAN,+07:00
12530,JAWA TIMUR,PACITAN,+07:00
12537,SULAWESI BARAT,MAMUJU UTARA,+08:00
12545,JAWA TIMUR,PACITAN,+07:00
13198,OUTSIDE INDONESIA,,+05:00
13224,OUTSIDE INDONESIA,,+05:00
13244,JAWA TENGAH,PURWOREJO,+07:00
13251,OUTSIDE INDONESIA,,+07:00
13274,JAWA TENGAH,BREBES,+07:00
13290,SUMATERA BARAT,PESISIR SELATAN,+07:00
13308,LAMPUNG,LAMPUNG UTARA,+08:00
13309,GORONTALO,BONE BOLANGO,+08:00
13312,JAWA TENGAH,PURWOREJO,+07:00
13315,JAWA TIMUR,PACITAN,+07:00
13320,JAWA TENGAH,TEGAL,+07:00
13348,LAMPUNG,LAMPUNG SELATAN,+07:00
13349,JAWA TIMUR,BANYUWANGI,+07:00
13351,JAWA TIMUR,BANYUWANGI,+07:00
13352,JAWA TIMUR,BANYUWANGI,+07:00
13353,JAWA TIMUR,BANYUWANGI,+07:00
13355,JAWA TIMUR,BANYUWANGI,+07:00
13357,JAWA TIMUR,BANYUWANGI,+07:00
13358,JAWA TIMUR,BANYUWANGI,+07:00
13359,JAWA TIMUR,BANYUWANGI,+07:00
13360,JAWA TIMUR,BANYUWANGI,+07:00
13362,JAWA TIMUR,BANYUWANGI,+07:00
13363,JAWA TIMUR,BANYUWANGI,+07:00
13364,JAWA TIMUR,BANYUWANGI,+07:00
13365,JAWA TIMUR,BANYUWANGI,+07:00
13367,JAWA TIMUR,BANYUWANGI,+07:00
13369,JAWA TIMUR,BANYUWANGI,+07:00
13371,JAWA TIMUR,BANYUWANGI,+07:00
13373,JAWA TIMUR,BANYUWANGI,+07:00
13374,JAWA TIMUR,BANYUWANGI,+07:00
13375,JAWA TIMUR,BANYUWANGI,+07:00
13398,JAWA TIMUR,BANYUWANGI,+07:00
13407,JAWA TIMUR,BANYUWANGI,+07:00
13433,JAWA TIMUR,BANYUWANGI,+07:00
13434,JAWA TIMUR,BANYUWANGI,+07:00
13436,JAWA TIMUR,BANYUWANGI,+07:00
13437,JAWA TIMUR,BANYUWANGI,+07:00
13438,JAWA TENGAH,PURWOREJO,+07:00
13440,JAWA TIMUR,BANYUWANGI,+07:00
13441,JAWA TIMUR,BANYUWANGI,+07:00
13442,JAWA TIMUR,BANYUWANGI,+07:00
13445,JAWA TIMUR,SUMENEP,+07:00
13486,JAWA TIMUR,BANYUWANGI,+07:00
13522,JAWA TIMUR,BANYUWANGI,+07:00
13538,JAWA TIMUR,PACITAN,+07:00
13540,JAWA TIMUR,JEMBER,+07:00
13599,JAWA TENGAH,PURWOREJO,+07:00
13622,KEPULAUAN BANGKA BELITUNG,BANGKA,+07:00
13638,JAWA TENGAH,CILACAP,+07:00
13677,JAWA TIMUR,JEMBER,+07:00
13692,OUTSIDE INDONESIA,,+07:00
13743,BALI,KARANG ASEM,+08:00
13788,JAWA TIMUR,JEMBER,+07:00
13876,JAWA TIMUR,BANYUWANGI,+07:00
13886,JAWA TIMUR,JEMBER,+07:00
